candidate_oracle_evidence_id,candidate_oracle_label,candidate_oracle_score,extraction_oracle_evidence_id,extraction_oracle_label,extraction_oracle_score,fact_id,loss_stage,mode,source_doc_id,source_oracle_evidence_id,source_oracle_label,source_oracle_score,top10_label,top1_label,top3_label,top5_label
membrane:snpbi_1_42|metric:vanadium_permeability_of_snpbi_1_42,UNSUPPORTED,0.2,membrane:snpbi_1_42|unresolved:fuming_sulfuric_acid,UNSUPPORTED,0.2,DOC02-FACT-012,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:temperature_2_45_ohm·cm2|membrane:pbi,UNSUPPORTED,0.1667,active_species:dimethylacetamide|membrane:pbi,UNSUPPORTED,0.1667,DOC02-FACT-013,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,PARTIALLY_SUPPORTED,0.5,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
degradation:chemical_attack_by_v_v_on_aromatic_backbone|membrane:speek_apk,UNSUPPORTED,0.3333,degradation:chemical_attack_by_v_v_on_aromatic_backbone|membrane:speek_apk,UNSUPPORTED,0.3333,DOC02-FACT-014,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,PARTIALLY_SUPPORTED,0.6667,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
degradation:desulfonation|membrane:snpbi_1_42,UNSUPPORTED,0.4,degradation:desulfonation|membrane:snpbi_1_42,UNSUPPORTED,0.4,DOC02-FACT-015,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.4,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
degradation:backbone_degradation_creating_free_volume|membrane:sptpc_2_59,UNSUPPORTED,0.4,degradation:desulfonation|membrane:snpbi_1_42,UNSUPPORTED,0.4,DOC02-FACT-016,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,PARTIALLY_SUPPORTED,0.6,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:current_density_98_1_percent|membrane:snpbi_1_42,PARTIALLY_SUPPORTED,0.5,membrane:snpbi_1_42|unresolved:fuming_sulfuric_acid,PARTIALLY_SUPPORTED,0.5,DOC02-FACT-017,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,PARTIALLY_SUPPORTED,0.5,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
degradation:desulfonation|membrane:snpbi_1_42,PARTIALLY_SUPPORTED,1.0,degradation:desulfonation|membrane:snpbi_1_42,PARTIALLY_SUPPORTED,1.0,DOC02-FACT-018,ranking_degradation,graph_final,DOC02,chunk-hyperrag-DOC02,PARTIALLY_SUPPORTED,1.0,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED,PARTIALLY_SUPPORTED
condition:current_density_80_5_percent|membrane:snpbi_1_42,UNSUPPORTED,0.2,membrane:snpbi_1_42|unresolved:fuming_sulfuric_acid,UNSUPPORTED,0.2,DOC02-FACT-019,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.2,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:current_density_40_to_200_ma_cm2|unresolved:single_cell_vrfb,UNSUPPORTED,0.1429,membrane:snpbi_1_42|unresolved:fuming_sulfuric_acid,UNSUPPORTED,0.1429,DOC02-FACT-020,rerank_or_topk,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.2857,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:current_density_100_ma_cm2|measurement:ee_83_0_percent,UNSUPPORTED,0.125,active_species:4_4_dichloro_3_3_disulfonylterphenylene|membrane:sptpc_2_59,UNSUPPORTED,0.125,DOC02-FACT-021,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,UNSUPPORTED,0.125,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
condition:temperature_1_26_mmol_g|membrane:speek_apk,UNSUPPORTED,0.25,active_species:85_phosphoric_acid|membrane:pbi,UNSUPPORTED,0.25,DOC02-FACT-022,retrieved,graph_final,DOC02,chunk-hyperrag-DOC02,PARTIALLY_SUPPORTED,0.5,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED
